recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R004,Gyroscope,True,3855,0.048792724609375,38.61515991210938,38.5663671875,99.93900207392807,0.010005126953124943,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R004,Gravity,True,3855,0.048792724609375,38.61515991210938,38.5663671875,99.93900207392807,0.010005126953124943,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R005,Accelerometer,True,4268,0.033987060546875,42.73163403320312,42.697646972656244,99.93900207392807,0.010005126953124943,0.010631103515621021,1.0624618762957931,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R005,Gyroscope,True,4268,0.033987060546875,42.73163403320312,42.697646972656244,99.93900207392807,0.010005126953124943,0.010631103515621021,1.0624618762957931,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R005,Gravity,True,4268,0.033987060546875,42.73163403320312,42.697646972656244,99.93900207392807,0.010005126953124943,0.010631103515621021,1.0624618762957931,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R006,Accelerometer,True,5610,0.046054443359375,56.172001708984375,56.125947265625,99.93900207392807,0.010005126953124943,0.010631591796872897,1.0625106746368371,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R006,Gyroscope,True,5610,0.046054443359375,56.172001708984375,56.125947265625,99.93900207392807,0.010005126953124943,0.010631591796872897,1.0625106746368371,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R006,Gravity,True,5610,0.046054443359375,56.172001708984375,56.125947265625,99.93900207392807,0.010005126953124943,0.010631591796872897,1.0625106746368371,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R007,Accelerometer,True,4584,0.053822998046875,45.91383520507812,45.86001220703125,99.93900207392807,0.010005126953124943,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R007,Gyroscope,True,4584,0.053822998046875,45.91383520507812,45.86001220703125,99.93900207392807,0.010005126953124943,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R007,Gravity,True,4584,0.053822998046875,45.91383520507812,45.86001220703125,99.93900207392807,0.010005126953124943,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R008,Accelerometer,True,3229,0.081974609375,32.38574609375,32.303771484375,99.92924931079173,0.010005615234373266,0.010633056640624972,1.0625533679767825,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R008,Gyroscope,True,3229,0.081974609375,32.38574609375,32.303771484375,99.92924931079173,0.010005615234373266,0.010633056640624972,1.0625533679767825,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R008,Gravity,True,3229,0.081974609375,32.38574609375,32.303771484375,99.92924931079173,0.010005615234373266,0.010633056640624972,1.0625533679767825,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
